Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Amir Abrashi,MF,al Albania,33,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
2,Che Adams,FW,sct Scotland,27,1996,3,209,70,77.4,2.3,3,70,0,0,,0,0.33,1,4,-3,-1.29,+1.66,0.7,2.8,-2.0,-0.88,+1.23,Matches
3,Michel Aebischer,DF,ch Switzerland,27,1997,5,476,95,99.2,5.3,5,95,3,0,,0,1.80,8,4,+4,+0.76,+0.76,6.5,4.9,+1.6,+0.30,-5.09,Matches
4,Arlind Ajeti,DF,al Albania,30,1993,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
5,Manuel Akanji,DF,ch Switzerland,28,1995,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,+4,+0.75,,6.7,4.9,+1.8,+0.37,+0.37,Matches
6,Samet Akaydın,DF,tr Türkiye,29,1994,4,335,84,74.4,3.7,4,84,2,0,,0,1.50,6,7,-1,-0.27,-1.05,5.7,5.6,+0.2,+0.04,+1.45,Matches
7,Nathan Aké,DF,nl Netherlands,28,1995,6,470,78,87.0,5.2,6,78,2,0,,0,1.67,6,6,0,0.00,-3.86,6.6,5.2,+1.3,+0.25,-0.06,Matches
8,Yunus Akgün,FW,tr Türkiye,23,2000,1,69,69,15.3,0.8,1,69,0,0,,4,0.00,0,3,-3,-3.91,-4.62,0.7,1.6,-0.9,-1.23,-1.07,Matches
9,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25,1998,5,105,21,23.3,1.2,1,57,0,4,12,0,1.80,2,3,-1,-0.86,-1.12,2.8,3.0,-0.2,-0.21,+0.15,Matches
10,Trent Alexander-Arnold,"MF,DF",eng England,25,1998,4,134,34,19.4,1.5,2,61,0,2,7,3,1.50,2,1,+1,+0.67,+0.51,0.9,0.6,+0.3,+0.19,+0.40,Matches
11,Denis Alibec,FW,ro Romania,33,1991,2,29,15,8.1,0.3,0,,0,2,15,2,0.00,0,2,-2,-6.21,-6.21,0.4,1.4,-1.0,-3.14,-2.70,Matches
12,Naser Aliji,"DF,MF",al Albania,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
13,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5,450,90,100.0,5.0,5,90,5,0,,0,1.80,8,8,0,0.00,,7.3,8.9,-1.6,-0.32,,Matches
14,Sandro Altunashvili,MF,ge Georgia,26,1997,2,52,26,14.4,0.6,0,,0,2,26,2,0.00,0,4,-4,-6.92,-7.22,0.4,3.0,-2.6,-4.51,-3.24,Matches
15,Zeki Amdouni,"MF,FW",ch Switzerland,23,2000,4,57,14,11.9,0.6,0,,0,4,14,1,1.50,1,1,0,0.00,-0.85,1.4,0.9,+0.5,+0.85,+0.58,Matches
16,Joachim Andersen,DF,dk Denmark,27,1996,4,360,90,100.0,4.0,4,90,4,0,,0,0.75,2,4,-2,-0.50,,4.3,4.8,-0.5,-0.12,,Matches
17,Robert Andrich,MF,de Germany,29,1994,5,318,64,66.3,3.5,4,61,0,1,75,0,2.00,7,3,+4,+1.13,-0.53,6.6,3.5,+3.1,+0.98,-0.06,Matches
18,Waldemar Anton,DF,de Germany,27,1996,2,33,17,6.9,0.4,0,,0,2,17,3,1.50,0,1,-1,-2.73,-4.34,1.0,0.9,0.0,+0.55,-0.45,Matches
19,Alphonse Areola,GK,fr France,30,1993,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
