AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
42,11.32195032980162,475.5219138516681,Basic,Electronic check,Yes,Movies,Yes,Tablet,0.3868523189909584,24.59336128901439,25,Comedy,3.489464519485509,7,Female,15,No,No,LOHRYYC9E8,0
95,12.8109146006735,1217.0368870639825,Standard,Electronic check,Yes,TV Shows,No,Mobile,37.122999911467,102.86079509716252,21,Comedy,2.251859954914927,3,Male,8,No,,RIH7RFEZCS,0
6,,91.58330353602958,Standard,Credit card,Yes,TV Shows,No,Tablet,30.7169444023015,10.51241512260625,29,Fantasy,,4,Male,14,No,Yes,JB5J8X2UY1,1
54,17.917818962876396,967.5622239953254,Basic,,Yes,Movies,No,Mobile,2.4953729601821766,45.24683449226995,45,Drama,1.275003599306649,3,Male,12,No,,Z4GZJIB90P,0
27,,339.05724384123715,Basic,Mailed check,No,TV Shows,No,Mobile,39.93691005346959,94.31095420850131,44,Comedy,3.236229818039165,4,Female,18,No,,B3BDJTW0L9,0
71,,818.2870537568413,Premium,Credit card,No,Movies,Yes,Computer,7.310172114483848,123.28079409280006,30,Comedy,2.7796143639640785,6,Female,16,Yes,,5E4TQK5OVX,0
69,17.145910434759166,1183.0678199983824,Basic,,No,Movies,Yes,Mobile,19.008899942021955,86.12255889350608,35,Sci-Fi,4.933494480322786,6,Female,5,No,Yes,8VFNZ1M1I9,1
76,17.46187534634668,1327.1025263223478,Premium,Electronic check,No,Movies,Yes,Mobile,24.429413494384104,137.5578744789226,32,Fantasy,2.1547371507439013,9,Female,11,Yes,Yes,THKWUHOGUL,0
8,,,Premium,Electronic check,No,Both,Yes,Computer,15.488912506556066,137.55294155226025,16,Fantasy,,3,Female,2,No,Yes,IGZ39O1ROC,0
26,19.69926162787429,512.1808023247314,Premium,Credit card,Yes,Both,Yes,,2.1217624569231868,164.0736426680405,44,Drama,1.72570039826283,4,Male,16,Yes,,JHTQYVGRR4,1
102,,1954.784655794702,Premium,,No,Movies,Yes,Mobile,38.91923861703344,5.028411809068291,29,,2.683852930153724,6,Male,19,Yes,Yes,W636FZ4VNV,1
101,,639.2830572377612,Standard,Electronic check,No,Both,No,Computer,16.06235631667653,74.34797146927649,11,Drama,3.836933094328382,2,Female,12,Yes,,CAS3XBFUJG,0
83,9.270358698753164,769.4397719965126,Standard,Electronic check,No,Movies,Yes,Tablet,10.008655029706922,25.531249352094232,32,Action,2.5519762065415463,9,Male,17,No,,Y66SW76TPC,1
10,8.078494236284286,,Standard,Mailed check,No,TV Shows,No,Mobile,29.184743436936618,155.7927759665253,0,Fantasy,,2,Female,2,No,,BEREY4ZEQN,0
8,5.72871245000111,45.82969960000888,Standard,Credit card,No,Movies,Yes,Computer,39.391883816119766,66.40771735757477,38,Drama,,0,Female,18,No,Yes,ORSECJMYNH,0
6,13.765035665546437,,Premium,Electronic check,Yes,Both,Yes,Mobile,7.054925488966616,45.614267199032,22,Action,3.834114298091446,1,Female,7,No,Yes,HI8VKLPO25,0
2,,15.637027909928785,Standard,Credit card,No,TV Shows,No,Tablet,39.36300166387026,55.83542583110676,43,Comedy,2.0293354975564264,4,Male,6,No,,6RWHGUCAB4,0
83,16.263146505136994,1349.8411599263704,Premium,Bank transfer,No,TV Shows,No,,6.3726074194387925,128.5922697932727,23,Sci-Fi,,7,Male,13,Yes,,7CC943AY0R,0
23,13.95714485592174,321.0143316862,Premium,,Yes,Both,No,Tablet,13.16752730588239,80.1188619906361,0,Comedy,1.8648241717764984,8,Male,1,No,,Y7COZUAXRR,0
23,,145.23511010410198,Standard,,Yes,Both,No,Tablet,19.630860220030947,64.04791230426866,27,Action,1.742696347909828,9,Female,23,No,,7O0U49OF9M,0
24,,310.46702447500434,Standard,,Yes,Both,No,TV,15.431673030605808,65.11007500357869,31,Sci-Fi,,1,Male,16,No,,KWCJPZTMBZ,1
87,15.000899788532776,1305.0782816023516,,Bank transfer,Yes,TV Shows,Yes,TV,37.83699164157948,121.85215558143412,29,Action,4.647866618430838,4,Female,13,No,,A92ZOG2V1J,0
63,6.635013133011577,,Premium,Credit card,No,TV Shows,Yes,Mobile,35.34919183774297,172.6618112615645,32,Comedy,1.0117453569134436,6,Female,20,No,,RZUWX2CJ0Q,0
78,19.852110570721035,1548.4646245162407,Basic,Electronic check,Yes,Movies,No,TV,29.40402475928132,80.22383068354559,13,,2.2747220054131154,2,Male,0,Yes,,VJN9GFI0OP,0
97,13.48847457664928,1308.3820339349802,Standard,Mailed check,Yes,TV Shows,Yes,TV,23.75808451173184,56.56707686243463,20,Action,,7,Male,3,No,,LNQN935XS9,1
2,15.426668190323372,30.853336380646745,Premium,Electronic check,No,TV Shows,No,Mobile,31.323503280378333,152.0381778776287,41,Comedy,2.597518511086008,3,Male,24,Yes,,S0QK1ZQ4ZB,0
85,15.034775599045052,,Premium,Mailed check,Yes,Both,Yes,TV,10.55981728464131,69.41633740528245,37,Drama,4.270866362857641,2,Female,21,No,,X0MDEL63NZ,0
89,15.37183293775692,,Standard,,No,Both,No,Mobile,30.170199239850984,176.56925376817549,41,Comedy,1.0694673415242488,6,Female,5,No,,4T29LDSLLN,0
77,7.780374374436769,599.0888268316312,Basic,,Yes,TV Shows,Yes,Computer,23.81261425762337,62.44375432751656,28,Action,4.792037837995127,4,Female,0,Yes,,318N9SO05V,1
113,19.61499197448325,2216.494093116607,Basic,Credit card,No,TV Shows,No,Mobile,29.14664661143008,83.65440622475244,24,Fantasy,3.18802084888976,3,Male,8,Yes,,CBDV730UOG,0
8,,51.21753685131792,Premium,Mailed check,No,Both,Yes,Tablet,31.286757599044304,54.57718275763445,47,,4.568875141081065,0,Female,8,No,,VCB3X9ZM3S,0
103,10.72652906711127,1104.832493912461,Standard,Bank transfer,Yes,TV Shows,Yes,TV,20.755264400793383,115.098616798753,15,Drama,2.087612906686388,9,Male,11,No,,4TXBLWD375,0
76,8.794010017425707,,Basic,,No,Movies,Yes,Mobile,24.40932020191881,161.45067852325676,27,Fantasy,1.274403987642387,0,Male,13,No,,J2ZTONJLMC,0
106,14.24087124250168,1509.532351705178,Standard,Credit card,No,TV Shows,No,Computer,15.288274315885134,59.98049838247941,35,Fantasy,,3,Male,13,No,Yes,0KJGVNJL8N,0
7,12.493820459927742,87.45674321949419,Premium,,Yes,Movies,No,Tablet,14.224183704705103,95.4209057512576,36,Action,4.337422212878522,6,Male,4,No,,5JBY0JE8LF,0
82,,,Standard,,Yes,TV Shows,Yes,TV,37.79171269856935,117.24086935873112,37,Comedy,,0,Female,11,Yes,,56V1FDEX23,0
26,12.633261108284174,328.4647888153885,Basic,Bank transfer,Yes,Movies,Yes,,25.53507700044215,155.67576810534135,37,Comedy,2.3234199409961307,0,Female,20,Yes,,SCEJCH4OP4,1
66,13.751909490384248,907.6260263653604,Basic,Bank transfer,Yes,Movies,No,Mobile,20.39577293671369,102.4710880578844,42,Fantasy,2.430666670590388,6,Male,4,No,,EB0W1QH7VZ,0
37,15.41815522623574,,Basic,,Yes,TV Shows,Yes,Computer,38.25352607881618,70.51122846066578,20,Fantasy,4.198958694484318,9,Male,21,Yes,,S5WIVFDNN0,0
72,14.910685765173415,1073.569375092486,Basic,Credit card,Yes,TV Shows,Yes,Mobile,26.28452440312375,38.17272233147202,37,Fantasy,4.397418070128925,0,Male,16,Yes,Yes,AZAQP5JFUX,0
18,15.622713707928243,281.20884674270843,Standard,Bank transfer,Yes,Both,Yes,TV,27.032723149521026,53.38442130649877,35,Comedy,4.823201147092407,2,Female,6,No,,94GUYMPU6T,0
105,14.770331511590785,1550.8848087170325,Standard,Electronic check,No,Movies,No,TV,22.18689102743464,113.69526861982604,44,Fantasy,4.781657655972802,5,Female,12,Yes,,0H9S6H654F,0
20,6.880638282778266,,Premium,,No,TV Shows,No,Computer,28.1204665445764,156.81588274842923,42,,3.5058337375635764,4,Male,12,Yes,No,FH0H23YW0M,0
45,18.51943603089383,833.3746213902223,Premium,,Yes,TV Shows,No,Computer,25.07038796175069,110.35997094459236,14,Sci-Fi,3.883595451712859,0,Male,7,Yes,,IUW1HLES8S,1
15,7.465709217067742,111.98563825601612,Standard,Bank transfer,No,Both,No,Computer,20.453793134132155,77.54316293007034,0,Fantasy,1.070033825144502,6,Female,8,No,,E6LQV6844N,0
74,,861.7870609024834,Standard,Credit card,No,Both,Yes,Computer,12.399784853548711,114.40517551602056,17,Sci-Fi,3.107525294056259,8,Female,6,No,,59G4MT5L0S,0
46,9.791247181094892,450.39737033036505,Basic,Bank transfer,Yes,Both,Yes,TV,33.68800512862189,111.83169639823824,25,Comedy,2.0800260357006044,6,Female,10,No,Yes,PRI44P2JBT,0
62,9.796647367960356,607.3921368135422,Standard,Electronic check,No,TV Shows,No,,38.47671814433908,97.46887977509935,22,Comedy,,7,Female,2,No,,MMNA6RJYF5,0
19,18.4359708211912,350.28344560263275,Basic,Credit card,No,Both,Yes,Mobile,2.4838697993021905,173.70379720765953,22,Action,,0,Female,24,No,,HKLEITP1IA,0
6,9.523391902793827,57.14035141676297,Premium,Credit card,No,Movies,Yes,Computer,25.28678129535825,44.07854950880273,8,Action,,0,Female,2,No,,T2ED1KDVR6,0
23,7.72548589747683,177.68617564196708,Basic,Credit card,No,TV Shows,No,Mobile,19.59306914873033,32.36622394010151,7,Comedy,3.1016833237109043,0,Female,20,No,,DFIYIYM3TK,0
109,11.305518353339531,,Standard,Bank transfer,No,Both,Yes,TV,35.449429642459165,163.47997195935758,43,Action,3.938040847586408,2,Male,8,Yes,,FZRJKPERVZ,0
26,11.209422074926596,291.4449739480915,Basic,Bank transfer,No,Movies,Yes,Tablet,5.228049854115215,22.44377291373981,24,Action,3.1983717045701776,0,Male,18,No,,OAWTET09CW,0
119,13.502818692542355,,Standard,Electronic check,Yes,TV Shows,Yes,TV,12.111862390268156,12.49848119461238,26,Drama,3.455806596355476,7,Female,22,Yes,,KM2QC8SV7C,0
45,7.738310174232479,348.2239578404616,Basic,Electronic check,No,TV Shows,No,TV,26.94994499253555,57.08792657124925,40,Fantasy,3.569271084495916,7,Female,6,Yes,,U7BU2SCCHI,0
111,,1259.004388697121,Premium,Bank transfer,No,Movies,Yes,Mobile,38.25103033944436,142.52112960853452,13,Comedy,4.24328076241142,7,Male,15,Yes,,53S9CYHTXM,0
104,6.732794665165834,,Premium,Mailed check,No,Both,Yes,Computer,21.263146026496035,49.51944256364908,43,Action,,7,,6,No,,KFXH24VCIX,0
110,,1412.0448147554584,Standard,Credit card,No,Both,No,Computer,27.64704282302408,100.4340654839757,43,Action,3.438805869644558,5,Male,8,No,,QDLZNIKBDV,0
67,12.90821229112442,864.8502235053362,Premium,Bank transfer,Yes,Both,Yes,Computer,10.821285023113234,23.244959103073377,17,Sci-Fi,2.538593485203901,1,Male,20,Yes,,VOLEP42RI4,0
105,5.236173024650985,549.7981675883534,Basic,,No,Both,No,Mobile,11.59964825286882,61.33455709410255,19,Comedy,2.135444217046408,9,Male,3,No,,2PV3FKTEN7,0
45,5.062338714057963,227.8052421326084,Basic,,No,Both,No,Mobile,29.512398661672066,86.60190000273313,24,Sci-Fi,1.2554063020314763,4,Male,3,No,,BAHIPO8823,0
12,19.64808306724581,235.77699680694977,Premium,Electronic check,Yes,Movies,Yes,Mobile,12.55071309277034,169.23743385172318,21,Fantasy,4.365473530497493,5,Male,22,Yes,No,XIB5D3UHRB,0
105,9.182763472386728,964.1901646006064,Basic,Electronic check,Yes,Movies,Yes,Computer,24.43151034759372,91.3734235281412,49,Comedy,,4,Male,0,No,,G48SX3KH6A,0
11,,,Basic,Electronic check,No,Movies,No,Computer,39.29819412529325,48.35721110573631,46,Fantasy,2.9625426064976086,9,Female,0,Yes,,8CGM9OR85P,0
52,11.280972210517136,,Standard,,No,TV Shows,No,Tablet,3.688284056800218,64.0773515497817,7,Drama,,1,Male,19,Yes,,ZXKZKRKVDN,0
21,16.673054107134362,350.1341362498216,,Credit card,No,Both,Yes,TV,33.271237927537186,96.7762621366086,44,,3.175287540857471,8,Male,22,Yes,,NF9RGTY4VD,0
16,9.322244538046045,149.15591260873668,Basic,Credit card,No,TV Shows,No,Computer,21.436778832844816,173.1410030561647,7,Fantasy,2.5514801178914777,4,Male,8,Yes,,YA70YL4HCM,0
25,14.68055910357458,367.01397758936446,Standard,Bank transfer,Yes,TV Shows,Yes,TV,14.511512165103603,122.7981832592693,24,Drama,,0,Male,5,No,,RR7DWPO17O,0
92,14.776023905141212,1359.3941992729915,Premium,Credit card,Yes,Movies,No,Mobile,6.164060982550646,96.45780218698702,30,Drama,1.8982458871316648,3,Male,3,No,,HBUU9YXPD0,0
80,,1070.7162512219377,Basic,Bank transfer,No,TV Shows,Yes,,17.35247004079642,35.435589839550794,12,Comedy,,7,Male,0,Yes,,OXNDMG3NC7,0
98,7.94007970919259,778.1278115008738,Standard,Credit card,Yes,TV Shows,No,Mobile,12.554392405429686,46.5674277837852,12,Comedy,2.4847051004952028,4,Male,21,Yes,,GBJGLPXBR5,0
22,15.205564993669649,334.52242986073225,Basic,,No,Both,No,Computer,2.7249972939554308,159.09360131207944,15,Fantasy,,9,Male,11,Yes,No,PM332INSGW,0
19,6.521996932713357,,Premium,Credit card,No,TV Shows,Yes,Computer,10.757916034652332,99.7233410991908,47,Drama,4.660409874831865,7,Male,11,No,No,KGZIUGKUB6,1
104,8.063300806759333,838.5832839029706,,,No,Both,No,Computer,11.753479113006614,109.113551655722,42,Comedy,4.36441915857977,1,Male,9,Yes,,2DBPXLKT8K,0
85,,1294.04700533529,Standard,Bank transfer,No,TV Shows,Yes,Mobile,15.655304055873184,81.58150329841074,27,Drama,2.080307514259071,9,Female,1,No,,55VANP455P,0
62,19.156984627671672,1187.7330469156436,Standard,,Yes,Both,Yes,TV,24.93478276959797,18.6057246782046,5,Drama,4.266681695700271,3,Female,13,Yes,,3MBK6VMOCV,0
1,,13.01210092215553,Premium,Bank transfer,Yes,Movies,No,,25.073791634726145,52.56780586243679,28,Action,4.284239136762995,9,Female,12,No,,UW8ES4IYMI,0
14,14.268111725937782,199.7535641631289,Premium,Electronic check,No,Both,No,Computer,11.248568751983774,62.58552280552126,34,,2.876019105018504,3,Female,2,No,No,VPJBEYNWQS,1
31,17.245287882333926,534.6039243523517,Premium,Bank transfer,Yes,Movies,Yes,TV,28.835836887334413,145.01617575065148,42,Sci-Fi,,8,Male,2,Yes,,5YJC1ZTRTJ,1
86,11.729898655737578,1008.7712843934318,Basic,Credit card,Yes,TV Shows,No,TV,3.794326864539248,121.4418677441892,21,Fantasy,,4,Male,5,No,Yes,HM6617H4JD,0
33,11.506819737723454,379.725051344874,Premium,Electronic check,Yes,Movies,No,,23.772941097797805,169.57575794711633,9,Drama,2.8574832958943435,2,Female,23,Yes,,O3LM1DJEII,0
49,8.357330395067056,409.5091893582857,,Bank transfer,Yes,Movies,Yes,TV,35.839673743047,93.49504256792648,0,Fantasy,,5,Male,19,No,Yes,2LZWV9RQL8,0
53,8.920732965150389,472.7988471529706,Standard,Bank transfer,No,Movies,Yes,TV,28.78212104313832,165.79541674753295,43,Comedy,4.858662580996414,0,Female,18,Yes,,V7E9XNI9DF,0
63,9.631315044544966,606.7728478063328,Standard,Electronic check,Yes,Movies,Yes,Computer,9.49095715075722,11.837806998583426,16,Comedy,4.322046814619904,1,,21,Yes,No,QHBAXJ9D6V,0
14,7.969210909385966,111.56895273140351,Premium,Bank transfer,Yes,Both,Yes,Computer,3.251119998800055,15.535141512655802,15,Comedy,2.210262189516649,7,Male,14,No,,9C3BD8HX0R,1
26,,338.28100550830595,Basic,Electronic check,No,Both,Yes,TV,31.794071232112564,116.06322243762814,35,Comedy,1.472555720792521,8,Female,7,Yes,No,DLTHWP80D3,0
2,16.125401389212946,,Basic,Bank transfer,No,TV Shows,Yes,,24.74981585981924,11.988765017280857,30,,1.2248326147590491,2,Female,4,No,,VK85180DSE,1
15,7.745146161144696,116.17719241717045,Premium,Electronic check,No,TV Shows,No,Tablet,22.5710430258967,155.52074908996784,40,Sci-Fi,4.120521121540612,9,Male,19,Yes,,2P78X3TX9B,0
80,12.762559237031072,1021.0047389624858,,Electronic check,No,Both,Yes,Computer,33.81220538514383,146.68215399903642,31,Fantasy,2.2521787780673628,9,Male,22,Yes,,5CM0GI004I,0
93,13.580876198604964,1263.0214864702616,Basic,Electronic check,No,Both,No,Computer,22.00460464726173,114.89723449821854,43,Sci-Fi,4.529921641315267,4,Male,6,No,,W2YUKP9QMF,0
28,,,Premium,Credit card,Yes,TV Shows,No,Mobile,37.76481999080919,96.31058633141733,30,,,2,,6,Yes,,V6CRGUK7OJ,0
87,6.800976410758331,591.6849477359748,,,Yes,Both,No,Computer,32.51290337287777,67.76475082097075,0,Action,2.7050433200408506,9,Male,12,Yes,,JHYZISEKTU,0
58,,1062.151084887055,Premium,,Yes,TV Shows,No,Computer,6.1176464722420345,177.97499001868746,4,Sci-Fi,1.5459590401207093,8,Male,17,Yes,,P3ZXPQP59E,0
94,7.489711342172975,704.0328661642596,Standard,Electronic check,No,TV Shows,Yes,Computer,20.264660460024245,116.68683250974044,18,Drama,,4,Female,11,No,,3U07QWB58B,0
52,,797.3032724449764,Basic,,Yes,TV Shows,No,TV,39.62781715118556,174.88358482869077,46,Comedy,3.426816130002326,8,Male,9,Yes,,2O9NN81OX5,0
13,16.749766340499775,217.74696242649708,Standard,Electronic check,Yes,TV Shows,No,,9.42680451784198,173.18631891920054,3,Action,1.2271980812273595,5,Male,5,No,,UY02SJT9FM,0
20,,396.4126392253672,,Credit card,No,Both,No,Computer,17.021663801544207,160.97388792871337,18,Comedy,4.49573705466908,4,Female,8,No,,SLTZTHJFZ9,1
103,16.514646857031412,1701.0086262742354,Premium,,No,Both,No,Tablet,6.575285946461973,75.52050710701525,39,Sci-Fi,1.8762405774716693,1,Female,18,No,No,4R07E19QKU,0
62,,842.7120724376942,Basic,Credit card,No,Both,No,TV,34.49848201108829,65.21043318193,30,Comedy,3.5478001635599026,4,Female,24,Yes,,MH6D9EWVID,0
23,,170.58034663839652,Standard,Mailed check,No,Both,Yes,TV,34.00190182214139,153.6770469787932,42,Sci-Fi,2.6129994825630742,9,Male,13,No,,7HY2MOSDW6,0
