EmpID,Age,JobLevel,Dept,WorkEnv,PhysicalActivityHours,Stress,SleepHours,CommuteMode,CommuteDistance,JobSatisfaction
874,33.0,Mid,Legal,2,2.1,1.0,7.9,Car,16.0,1.0
784,31.0,Senior,Marketing,5,1.1,3.0,7.3,Car,20.0,3.0
1097,53.0,Senior,Operations,4,1.2,1.0,6.2,Public Transport,9.0,2.0
380,35.0,Senior,Operations,1,0.5,1.0,6.1,Bike,4.0,4.0
1870,25.0,Junior,Marketing,4,1.3,1.0,6.6,Public Transport,5.0,4.0
2753,54.0,Lead,IT,5,1.7,1.0,6.2,Public Transport,12.0,4.0
2597,28.0,Senior,Legal,5,2.2,2.0,6.6,Bike,6.0,4.0
413,31.0,Mid,IT,1,2.4,4.0,6.8,Walk,1.0,3.0
292,38.0,Senior,Legal,3,1.9,1.0,7.0,Car,29.0,4.0
2134,37.0,Senior,IT,1,0.9,1.0,7.2,Public Transport,28.0,4.0
1239,34.0,Senior,IT,4,2.0,1.0,6.1,Public Transport,16.0,1.0
1044,30.0,Senior,Sales,1,1.3,2.0,7.7,Car,15.0,3.0
739,35.0,Senior,IT,4,2.7,1.0,7.9,Car,21.0,5.0
1652,30.0,Senior,Marketing,5,1.4,5.0,7.1,Public Transport,6.0,1.0
875,29.0,,IT,5,0.9,2.0,6.0,,17.0,3.0
2996,32.0,Mid,Customer Service,5,0.9,3.0,8.6,Motorbike,24.0,5.0
2855,28.0,Mid,Legal,4,1.9,2.0,5.6,Car,9.0,5.0
1219,52.0,,,1,1.5,1.0,7.0,,2.0,2.0
1608,35.0,Senior,Finance,2,2.6,3.0,8.7,Public Transport,14.0,1.0
2593,54.0,Lead,Finance,2,1.5,1.0,8.1,Car,8.0,4.0
1345,36.0,Senior,Operations,5,2.4,3.0,8.0,Motorbike,12.0,2.0
766,46.0,Senior,Sales,2,3.3,1.0,7.7,Public Transport,25.0,3.0
2914,24.0,Junior,Customer Service,3,1.9,2.0,6.1,Bike,9.0,5.0
1501,37.0,Senior,IT,5,2.8,1.0,7.0,Public Transport,14.0,4.0
2097,27.0,Mid,Customer Service,2,1.6,1.0,7.6,Car,27.0,4.0
1851,27.0,Mid,Operations,1,2.3,1.0,5.8,Motorbike,4.0,4.0
219,25.0,,IT,1,1.9,2.0,6.1,,1.0,5.0
2859,40.0,Lead,IT,2,1.5,3.0,7.8,Car,19.0,5.0
1558,60.0,Lead,Operations,1,3.1,1.0,9.6,Public Transport,11.0,4.0
1754,31.0,Senior,Marketing,2,1.4,4.0,7.9,Car,27.0,1.0
1445,33.0,,,2,,1.0,,,,2.0
1006,36.0,Senior,Operations,2,3.5,1.0,7.9,Public Transport,6.0,3.0
2986,49.0,,,4,0.3,3.0,5.7,,14.0,4.0
652,56.0,Senior,Finance,4,1.8,1.0,6.5,Car,5.0,4.0
1848,33.0,Mid,Operations,1,2.5,3.0,6.7,Car,15.0,1.0
2002,34.0,Senior,Finance,4,3.9,3.0,6.7,Car,23.0,4.0
52,36.0,Mid,Operations,4,0.7,2.0,6.1,Car,15.0,5.0
955,43.0,Senior,Marketing,2,0.9,3.0,6.7,Public Transport,19.0,3.0
2086,43.0,Lead,IT,3,4.1,1.0,7.4,Public Transport,10.0,4.0
2550,38.0,Mid,Finance,2,4.1,1.0,8.5,Public Transport,24.0,4.0
2863,26.0,Mid,IT,5,2.9,1.0,8.6,Car,11.0,5.0
669,22.0,Junior,Legal,3,2.9,1.0,6.2,Bike,5.0,1.0
1101,40.0,Lead,Marketing,4,0.7,2.0,7.6,Car,9.0,2.0
1380,38.0,Senior,Finance,1,0.0,1.0,6.9,Car,10.0,1.0
2535,46.0,,Marketing,5,3.5,3.0,10.0,Car,24.0,4.0
972,30.0,Senior,Finance,4,2.5,1.0,7.3,Car,23.0,5.0
2722,24.0,Mid,Finance,5,2.0,1.0,8.9,Car,24.0,4.0
414,23.0,Junior,Finance,5,3.6,1.0,7.3,Bike,2.0,4.0
1565,45.0,Lead,IT,3,2.7,1.0,7.1,Public Transport,22.0,4.0
630,39.0,Mid,Sales,5,2.6,1.0,7.3,Car,18.0,5.0
1231,22.0,Intern/Fresher,Legal,1,1.5,2.0,8.1,Car,18.0,2.0
1129,56.0,Lead,IT,5,3.2,2.0,5.6,Car,16.0,2.0
625,51.0,Senior,Finance,4,1.2,1.0,6.2,Car,23.0,4.0
334,29.0,Junior,IT,1,1.7,3.0,6.2,Bike,9.0,2.0
1703,33.0,Mid,Finance,4,3.0,1.0,6.2,Public Transport,23.0,4.0
706,29.0,Junior,Customer Service,2,2.4,5.0,6.0,Public Transport,13.0,1.0
2196,47.0,Lead,IT,1,2.8,1.0,6.5,Car,28.0,1.0
2028,35.0,Senior,Operations,1,0.8,4.0,5.4,Car,27.0,1.0
2829,31.0,Mid,Operations,3,3.2,1.0,7.2,Car,26.0,5.0
370,27.0,Mid,Operations,1,0.0,2.0,8.7,Car,14.0,4.0
1534,22.0,Junior,Operations,4,2.0,1.0,7.9,Car,5.0,4.0
2371,51.0,Lead,Operations,2,1.6,1.0,7.6,Car,10.0,4.0
