ID,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
W9972,23.0,69,9.5,10.0,clear,1012.91,9,Spring,8.5,inland,Sunny
W501,29.0,82,18.0,78.0,overcast,991.54,3,Spring,4.0,inland,Rainy
W9187,-2.0,74,3.0,74.0,overcast,982.42,0,Winter,2.5,inland,Snowy
W6418,36.0,48,3.5,11.0,partly cloudy,1024.92,10,Autumn,5.5,mountain,Sunny
W5603,32.0,35,5.5,9.0,partly cloudy,1010.24,6,Summer,9.0,coastal,Sunny
W483,23.0,23,3.5,8.0,clear,1027.69,5,Spring,6.5,mountain,Sunny
W6633,30.0,57,12.5,33.0,overcast,1002.2,1,Autumn,7.0,inland,Cloudy
W12077,28.0,65,1.5,20.0,partly cloudy,1007.0,4,Spring,8.5,mountain,Cloudy
W1911,29.0,96,11.5,79.0,partly cloudy,1013.23,0,Spring,1.0,inland,Rainy
W11254,-1.0,97,11.0,59.0,overcast,998.05,0,Winter,3.5,mountain,Snowy
W8170,3.0,99,14.0,93.0,overcast,980.85,0,Winter,3.0,mountain,Snowy
W7358,35.0,63,8.0,3.0,clear,1029.83,10,Spring,5.0,mountain,Sunny
W8199,-2.0,68,8.5,53.0,partly cloudy,981.32,1,Winter,4.0,mountain,Snowy
W11269,-8.0,79,8.5,72.0,overcast,988.66,1,Winter,1.0,inland,Snowy
W5420,18.0,82,8.5,83.0,overcast,999.13,0,Summer,2.5,coastal,Rainy
W6634,-6.0,71,17.0,94.0,partly cloudy,982.37,0,Winter,2.5,inland,Snowy
W7485,8.0,90,1.5,70.0,partly cloudy,1011.19,10,Spring,7.5,mountain,Cloudy
W13175,19.0,65,2.5,20.0,partly cloudy,1016.81,1,Spring,8.0,inland,Cloudy
W4308,28.0,72,14.0,73.0,partly cloudy,1005.12,1,Summer,1.0,coastal,Rainy
