ins_id,age,agency,agency_type,commision,destination,distribution_channel,duration,gender,net_sales,product_name,claim
45341,28.0,C2B,Airlines,28.13,SINGAPORE,Online,34.0,F,112.5,Silver Plan,1.0
12958,37.0,JZI,Airlines,12.95,PHILIPPINES,Online,53.0,F,37.0,Basic Plan,0.0
52027,45.0,JZI,Airlines,9.1,HONG KONG,Online,10.0,M,26.0,Basic Plan,0.0
24167,32.0,C2B,Airlines,63.21,SINGAPORE,Online,368.0,M,252.85,Annual Silver Plan,1.0
19885,59.0,C2B,Airlines,63.21,SINGAPORE,Online,377.0,F,252.85,Annual Silver Plan,0.0
61994,27.0,C2B,Airlines,5.0,SINGAPORE,Online,9.0,M,20.0,Bronze Plan,0.0
42658,33.0,C2B,Airlines,17.25,SINGAPORE,Online,27.0,M,69.0,Gold Plan,1.0
60638,50.0,C2B,Airlines,54.0,SINGAPORE,Online,364.0,M,216.0,Annual Silver Plan,0.0
46954,67.0,C2B,Airlines,54.0,SINGAPORE,Online,371.0,F,216.0,Annual Silver Plan,0.0
21920,47.0,JZI,Airlines,12.6,BAHRAIN,Online,12.0,M,36.0,Basic Plan,0.0
27267,41.0,JZI,Airlines,23.45,NETHERLANDS,Online,29.0,M,67.0,Value Plan,0.0
24367,43.0,JZI,Airlines,51.45,JAPAN,Online,38.0,M,147.0,Value Plan,0.0
40883,35.0,JZI,Airlines,6.3,MALAYSIA,Online,1.0,M,18.0,Basic Plan,0.0
30854,45.0,C2B,Airlines,4.25,SINGAPORE,Online,61.0,F,17.0,Bronze Plan,0.0
62805,28.0,C2B,Airlines,6.75,SINGAPORE,Online,10.0,F,27.0,Bronze Plan,1.0
35227,24.0,C2B,Airlines,3.38,SINGAPORE,Online,5.0,F,13.5,Bronze Plan,1.0
33778,29.0,C2B,Airlines,8.63,SINGAPORE,Online,21.0,F,34.5,Bronze Plan,0.0
9904,38.0,JZI,Airlines,6.3,INDONESIA,Online,16.0,F,-18.0,Basic Plan,0.0
46922,28.0,C2B,Airlines,20.13,SINGAPORE,Online,25.0,F,80.5,Bronze Plan,0.0
41419,28.0,C2B,Airlines,5.25,SINGAPORE,Online,13.0,F,21.0,Bronze Plan,1.0
10558,40.0,JZI,Airlines,21.35,NETHERLANDS,Online,88.0,M,61.0,Basic Plan,1.0
922,79.0,JZI,Airlines,12.25,CHINA,Online,36.0,M,35.0,Basic Plan,0.0
60720,118.0,JWT,Airlines,31.2,INDIA,Online,25.0,F,78.0,Value Plan,1.0
42020,60.0,TST,Travel Agency,10.5,MALAYSIA,Offline,112.0,F,30.0,Travel Cruise Protect,0.0
38117,47.0,C2B,Airlines,18.0,SINGAPORE,Online,21.0,F,72.0,Silver Plan,1.0
46952,47.0,C2B,Airlines,64.8,SINGAPORE,Online,372.0,F,259.2,Annual Silver Plan,0.0
60887,49.0,JZI,Airlines,11.55,THAILAND,Online,7.0,M,33.0,Value Plan,1.0
4045,52.0,JZI,Airlines,6.3,PHILIPPINES,Online,1.0,M,18.0,Basic Plan,0.0
59373,16.0,C2B,Airlines,7.38,SINGAPORE,Online,8.0,M,29.5,Silver Plan,0.0
37108,34.0,C2B,Airlines,4.25,SINGAPORE,Online,8.0,M,17.0,Bronze Plan,1.0
28549,36.0,C2B,Airlines,3.38,SINGAPORE,Online,53.0,M,13.5,Bronze Plan,0.0
18559,26.0,C2B,Airlines,9.59,SINGAPORE,Online,10.0,F,38.35,Bronze Plan,1.0
58388,26.0,C2B,Airlines,54.0,SINGAPORE,Online,364.0,F,216.0,Annual Silver Plan,0.0
38781,21.0,C2B,Airlines,7.38,SINGAPORE,Online,12.0,M,29.5,Bronze Plan,0.0
5424,47.0,JZI,Airlines,12.95,PHILIPPINES,Online,151.0,F,37.0,Basic Plan,0.0
4420,48.0,C2B,Airlines,75.25,SINGAPORE,Online,390.0,F,301.0,Annual Silver Plan,1.0
56484,22.0,C2B,Airlines,84.13,SINGAPORE,Online,197.0,F,336.5,Bronze Plan,1.0
248,45.0,C2B,Airlines,10.89,SINGAPORE,Online,10.0,M,43.55,Silver Plan,1.0
6201,118.0,ART,Airlines,14.0,NEPAL,Online,27.0,M,40.0,Value Plan,0.0
56246,33.0,LWC,Travel Agency,166.53,UNITED STATES,Online,379.0,F,256.2,Annual Travel Protect Gold,1.0
31488,59.0,JZI,Airlines,6.3,MALAYSIA,Online,5.0,F,18.0,Basic Plan,0.0
28073,52.0,C2B,Airlines,4.25,SINGAPORE,Online,11.0,M,17.0,Bronze Plan,1.0
55915,22.0,C2B,Airlines,5.63,SINGAPORE,Online,19.0,M,22.5,Silver Plan,1.0
27060,48.0,KML,Travel Agency,10.64,INDONESIA,Online,18.0,F,28.0,Value Plan,1.0
22874,54.0,C2B,Airlines,6.01,SINGAPORE,Online,34.0,F,24.05,Silver Plan,0.0
40604,33.0,C2B,Airlines,6.63,SINGAPORE,Online,46.0,F,-26.5,Bronze Plan,0.0
21133,118.0,JWT,Airlines,15.6,INDIA,Online,6.0,F,39.0,Value Plan,0.0
53966,59.0,TST,Travel Agency,10.5,MALAYSIA,Offline,15.0,F,30.0,Travel Cruise Protect,0.0
33412,43.0,C2B,Airlines,4.25,SINGAPORE,Online,10.0,F,17.0,Bronze Plan,1.0
51324,39.0,JZI,Airlines,9.1,INDONESIA,Online,7.0,F,0.0,Value Plan,0.0
46941,26.0,C2B,Airlines,4.63,SINGAPORE,Online,3.0,F,18.5,Silver Plan,0.0
55576,43.0,C2B,Airlines,59.88,SINGAPORE,Online,367.0,M,239.5,Annual Gold Plan,1.0
17539,70.0,CBH,Travel Agency,9.57,MALAYSIA,Offline,54.0,F,29.0,Comprehensive Plan,0.0
7484,27.0,C2B,Airlines,17.39,SINGAPORE,Online,30.0,M,69.55,Bronze Plan,0.0
47957,44.0,JZI,Airlines,6.3,MYANMAR,Online,17.0,M,18.0,Basic Plan,0.0
30017,44.0,C2B,Airlines,63.21,SINGAPORE,Online,364.0,M,252.85,Annual Silver Plan,1.0
61239,37.0,C2B,Airlines,7.38,SINGAPORE,Online,14.0,M,29.5,Silver Plan,1.0
32403,50.0,C2B,Airlines,4.63,SINGAPORE,Online,12.0,M,18.5,Silver Plan,0.0
37559,48.0,KML,Travel Agency,60.04,PERU,Online,27.0,M,158.0,Premier Plan,0.0
25874,43.0,C2B,Airlines,63.21,SINGAPORE,Online,376.0,F,252.85,Annual Silver Plan,1.0
48960,51.0,JZI,Airlines,10.5,MALAYSIA,Online,7.0,M,30.0,Basic Plan,0.0
47573,52.0,C2B,Airlines,5.0,SINGAPORE,Online,14.0,F,20.0,Bronze Plan,0.0
57493,19.0,JZI,Airlines,14.0,CHINA,Online,18.0,M,40.0,Basic Plan,0.0
32845,25.0,C2B,Airlines,11.75,SINGAPORE,Online,36.0,F,47.0,Bronze Plan,0.0
41807,28.0,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,6.0,M,0.0,Value Plan,0.0
48172,33.0,JZI,Airlines,7.7,VIET NAM,Online,6.0,M,22.0,Basic Plan,0.0
38499,36.0,C2B,Airlines,63.21,SINGAPORE,Online,364.0,F,252.85,Annual Silver Plan,0.0
48841,16.0,C2B,Airlines,54.0,SINGAPORE,Online,373.0,F,216.0,Annual Silver Plan,1.0
54686,42.0,LWC,Travel Agency,18.85,HONG KONG,Online,17.0,F,29.0,Single Trip Travel Protect Gold,0.0
50960,34.0,C2B,Airlines,64.8,SINGAPORE,Online,370.0,F,259.2,Annual Silver Plan,0.0
60735,26.0,LWC,Travel Agency,132.99,CHINA,Online,368.0,F,204.6,Annual Travel Protect Gold,1.0
36291,35.0,C2B,Airlines,8.38,SINGAPORE,Online,18.0,M,33.5,Silver Plan,0.0
