person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status
22.0,71948.0,0,35000.0,16.02,0.49,3.0,561,Approved
21.0,12282.0,0,1000.0,11.14,0.08,2.0,504,Rejected
25.0,12438.0,3,5500.0,12.87,0.44,3.0,635,Approved
23.0,79753.0,0,35000.0,15.23,0.44,2.0,675,Approved
24.0,66135.0,1,35000.0,14.27,0.53,4.0,586,Approved
21.0,12951.0,0,2500.0,7.14,0.19,2.0,532,Approved
26.0,93471.0,1,35000.0,12.42,0.37,3.0,701,Approved
24.0,95550.0,5,35000.0,11.11,0.37,4.0,585,Approved
24.0,100684.0,3,35000.0,8.9,0.35,2.0,544,Approved
21.0,12739.0,0,1600.0,14.74,0.13,3.0,640,Approved
22.0,102985.0,0,35000.0,10.37,0.34,4.0,621,Approved
21.0,13113.0,0,4500.0,8.63,0.34,2.0,651,Approved
23.0,114860.0,3,35000.0,7.9,0.3,2.0,573,Approved
,130713.0,0,35000.0,18.39,0.27,4.0,708,Approved
23.0,138998.0,0,35000.0,7.9,0.25,4.0,583,Rejected
23.0,600891.0,5,30000.0,10.65,0.05,3.0,670,Rejected
23.0,144943.0,0,35000.0,7.9,0.24,4.0,663,Rejected
23.0,111369.0,0,35000.0,20.0,0.31,4.0,694,Approved
23.0,136628.0,0,35000.0,18.25,0.26,4.0,709,Approved
24.0,14283.0,1,1750.0,10.99,0.12,2.0,679,Approved
25.0,195718.0,0,35000.0,7.49,0.18,4.0,684,Rejected
25.0,165792.0,4,34800.0,16.77,0.21,2.0,662,Rejected
22.0,79255.0,0,34000.0,17.58,0.43,4.0,691,Approved
24.0,13866.0,0,1500.0,7.29,0.11,3.0,600,Rejected
22.0,97420.0,1,33950.0,14.54,0.35,4.0,691,Approved
24.0,82443.0,0,33000.0,12.68,0.4,3.0,654,Approved
21.0,14288.0,0,4575.0,17.74,0.32,3.0,626,Approved
23.0,14293.0,0,1400.0,9.32,0.1,3.0,607,Rejected
24.0,79054.0,1,32500.0,9.99,0.41,3.0,700,Approved
21.0,14988.0,0,4000.0,12.84,0.27,2.0,553,Approved
21.0,14858.0,0,2000.0,11.12,0.13,3.0,589,Approved
25.0,144855.0,1,32000.0,6.62,0.22,2.0,586,Rejected
26.0,114645.0,2,31050.0,14.17,0.27,3.0,681,Approved
25.0,368115.0,3,24250.0,13.85,0.07,3.0,567,Rejected
26.0,361076.0,1,7800.0,13.49,0.02,4.0,669,Rejected
21.0,15150.0,0,2500.0,7.51,0.17,4.0,600,Approved
22.0,58868.0,0,30000.0,18.39,0.51,2.0,606,Approved
,78026.0,3,30000.0,14.54,0.38,3.0,582,Approved
25.0,90785.0,4,30000.0,16.89,0.33,4.0,649,Approved
23.0,86811.0,0,30000.0,11.01,0.35,4.0,602,Approved
26.0,75503.0,5,30000.0,17.99,0.4,2.0,616,Approved
24.0,15082.0,0,2500.0,12.69,0.17,3.0,631,Approved
26.0,361293.0,5,20000.0,7.88,0.06,4.0,684,Rejected
23.0,361547.0,0,24250.0,19.41,0.07,2.0,637,Rejected
