Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
2,69,No,8,3.0,45.0
5,92,No,5,2.0,77.0
1,49,No,8,7.0,26.0
8,52,No,9,,45.0
8,92,No,9,8.0,88.0
3,53,Yes,9,8.0,40.0
1,90,No,9,9.0,65.0
9,75,Yes,7,9.0,78.0
2,88,Yes,4,8.0,66.0
5,53,Yes,6,4.0,40.0
2,49,No,6,3.0,26.0
6,68,Yes,5,5.0,57.0
6,51,Yes,7,,37.0
3,90,Yes,5,6.0,70.0
5,82,No,8,5.0,71.0
2,50,Yes,9,5.0,26.0
4,63,No,5,5.0,45.0
5,91,Yes,9,9.0,81.0
9,80,Yes,5,7.0,76.0
7,80,No,9,6.0,74.0
3,93,Yes,6,5.0,72.0
2,74,No,5,1.0,51.0
5,83,No,4,6.0,69.0
4,56,Yes,5,,38.0
3,50,No,5,4.0,27.0
2,84,Yes,6,5.0,61.0
3,47,Yes,4,5.0,28.0
7,74,Yes,7,4.0,69.0
7,50,No,6,8.0,43.0
1,76,Yes,4,2.0,49.0
6,75,Yes,4,1.0,63.0
2,43,No,7,3.0,19.0
8,63,Yes,5,1.0,58.0
3,92,Yes,5,3.0,71.0
6,62,No,7,7.0,45.0
4,59,Yes,8,2.0,47.0
6,68,No,8,1.0,55.0
7,53,No,4,3.0,44.0
1,54,No,7,7.0,28.0
1,45,Yes,6,5.0,18.0
9,44,Yes,8,9.0,42.0
2,61,No,8,7.0,40.0
8,40,Yes,7,7.0,31.0
8,50,Yes,4,5.0,44.0
4,63,Yes,5,3.0,42.0
8,54,Yes,5,4.0,47.0
2,92,Yes,6,8.0,73.0
8,58,Yes,5,3.0,54.0
1,65,Yes,4,3.0,36.0
5,91,Yes,7,5.0,76.0
1,97,Yes,4,5.0,73.0
3,61,Yes,8,6.0,42.0
4,84,No,5,2.0,63.0
6,94,No,4,9.0,81.0
3,91,No,5,6.0,72.0
9,45,No,7,4.0,42.0
4,51,Yes,9,8.0,34.0
7,79,No,7,3.0,69.0
2,44,No,8,8.0,28.0
6,94,Yes,5,1.0,77.0
6,77,No,6,4.0,66.0
3,85,Yes,6,3.0,68.0
5,60,No,8,8.0,46.0
7,41,No,7,6.0,31.0
3,97,Yes,6,1.0,75.0
6,41,Yes,4,9.0,29.0
1,47,Yes,8,8.0,23.0
5,67,No,4,5.0,50.0
3,44,Yes,4,,23.0
9,58,No,9,1.0,54.0
2,73,Yes,5,3.0,53.0
9,77,No,7,,72.0
4,84,No,9,1.0,67.0
4,74,No,7,4.0,57.0
3,89,No,9,3.0,69.0
8,93,No,4,6.0,82.0
8,92,No,7,5.0,86.0
5,93,Yes,4,6.0,78.0
7,65,No,5,9.0,57.0
2,96,No,8,2.0,72.0
7,56,Yes,9,7.0,50.0
9,61,Yes,9,9.0,58.0
9,95,No,5,6.0,90.0
2,89,No,9,6.0,68.0
3,66,Yes,4,4.0,43.0
9,57,No,8,3.0,52.0
4,98,Yes,6,7.0,80.0
1,40,Yes,7,6.0,12.0
3,87,No,8,5.0,68.0
7,83,Yes,9,5.0,77.0
6,44,No,9,3.0,34.0
6,54,Yes,5,5.0,44.0
1,97,Yes,4,5.0,71.0
9,56,Yes,8,2.0,56.0
8,60,Yes,6,2.0,54.0
7,82,No,7,1.0,74.0
1,49,Yes,7,3.0,24.0
6,77,No,8,2.0,62.0
1,79,Yes,9,4.0,53.0
1,62,No,8,1.0,36.0
4,48,Yes,4,3.0,30.0
3,65,Yes,4,2.0,43.0
5,84,No,4,7.0,69.0
4,40,No,9,3.0,27.0
6,77,No,4,1.0,64.0
6,61,Yes,4,3.0,52.0
9,83,Yes,6,5.0,81.0
4,98,Yes,9,4.0,83.0
8,43,Yes,8,5.0,40.0
1,54,Yes,5,1.0,29.0
2,98,No,8,8.0,78.0
3,41,No,5,4.0,17.0
6,78,Yes,5,6.0,66.0
3,68,No,7,9.0,46.0
4,67,Yes,4,8.0,46.0
9,73,No,6,1.0,68.0
2,92,No,8,5.0,70.0
4,61,No,5,,42.0
