CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
757,Germany,Female,34,9,101861.36,2,0,0,187011.96,0,0,5,PLATINUM,903
644,France,Male,33,8,0.0,2,1,1,155294.17,0,0,5,SILVER,813
655,Spain,Female,56,5,0.0,2,1,1,41782.7,0,0,2,PLATINUM,979
710,Spain,Female,36,8,0.0,2,0,0,83206.19,0,0,3,SILVER,636
684,Spain,Female,31,8,0.0,2,1,0,188637.05,0,0,4,SILVER,515
756,Spain,Male,19,4,130274.22,1,1,1,133535.29,0,0,4,SILVER,546
486,Germany,Male,37,1,101438.0,1,0,0,51364.56,0,0,3,PLATINUM,512
632,France,Male,50,2,0.0,2,0,0,57942.88,0,0,1,PLATINUM,419
747,France,Female,34,10,0.0,2,1,1,50759.8,0,0,3,GOLD,740
629,Germany,Female,37,1,35549.81,2,0,0,49676.33,0,0,3,PLATINUM,649
575,France,Male,46,1,0.0,2,1,1,65998.26,0,0,3,PLATINUM,725
682,France,Male,48,1,138778.15,1,0,1,168840.23,0,0,5,SILVER,229
747,Germany,Male,36,8,102603.3,2,1,1,180693.61,0,0,3,GOLD,751
553,France,Male,33,4,118082.89,1,0,0,94440.45,0,0,4,SILVER,221
731,Spain,Male,41,4,0.0,2,1,0,22299.27,0,0,1,GOLD,968
633,France,Male,59,5,0.0,1,1,1,137273.97,0,0,2,SILVER,532
659,France,Female,32,2,155584.21,1,0,1,153662.88,0,0,5,PLATINUM,313
614,France,Female,38,4,72594.0,1,1,1,76042.48,0,0,2,SILVER,689
614,Spain,Female,41,7,146997.64,2,0,0,137791.18,0,0,5,PLATINUM,524
834,Spain,Male,33,5,0.0,2,1,0,66285.18,0,0,1,PLATINUM,746
522,Germany,Female,37,3,95022.57,1,1,1,129107.59,0,0,3,SILVER,534
670,Germany,Female,40,2,147171.2,1,0,1,69850.04,0,0,2,GOLD,748
675,France,Male,40,7,113208.86,2,1,0,34577.36,0,0,3,SILVER,587
841,France,Male,31,2,0.0,2,1,0,173240.52,0,0,3,DIAMOND,647
550,Spain,Male,51,5,0.0,2,1,0,153917.41,0,0,2,SILVER,977
624,Spain,Male,33,6,0.0,2,0,0,76551.7,0,0,5,GOLD,566
642,France,Male,35,2,133161.95,1,0,1,122254.86,0,0,3,GOLD,460
654,Germany,Male,43,9,84673.17,2,0,1,82081.35,0,0,5,SILVER,531
660,France,Male,19,5,127649.64,1,1,1,40368.65,0,0,1,GOLD,863
590,France,Male,32,5,0.0,2,1,0,59249.83,0,0,4,GOLD,676
508,France,Female,64,2,0.0,1,1,1,6076.62,0,0,3,GOLD,993
528,France,Female,32,4,85615.66,2,1,0,156192.43,0,0,2,SILVER,518
622,France,Male,32,5,179305.09,1,1,1,149043.78,0,0,4,GOLD,383
709,France,Female,32,2,87814.89,1,1,0,138578.37,0,0,2,DIAMOND,643
639,France,Female,38,4,81550.94,2,0,1,118974.77,0,0,4,GOLD,860
679,Germany,Male,38,7,110555.37,2,1,0,46522.68,0,0,4,GOLD,320
594,France,Male,50,7,81310.34,1,1,1,183868.01,0,0,4,SILVER,439
680,France,Male,27,3,0.0,1,1,0,32454.26,0,0,3,DIAMOND,875
553,France,Male,32,3,116324.53,1,1,0,77304.49,0,0,2,GOLD,831
462,Germany,Male,34,1,94682.56,2,1,0,138478.2,0,0,5,PLATINUM,747
617,Spain,Female,37,9,101707.8,1,1,0,123866.28,0,0,5,GOLD,425
474,Germany,Female,34,9,176311.36,1,1,0,160213.27,0,0,3,SILVER,724
814,France,Male,49,8,0.0,2,0,0,157822.54,0,0,3,GOLD,539
711,France,Female,21,0,82844.33,2,0,1,1408.68,0,0,1,SILVER,310
704,Spain,Male,33,3,0.0,2,1,0,73018.74,0,0,4,GOLD,697
561,France,Female,22,6,186788.96,2,1,0,73286.8,0,0,5,SILVER,964
766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0,0,4,GOLD,436
663,Spain,Male,27,8,0.0,1,1,1,188007.99,0,0,1,GOLD,299
850,Germany,Female,26,8,123126.29,1,1,0,74425.41,0,0,5,DIAMOND,240
691,France,Male,34,8,133936.04,2,1,0,91359.79,0,0,1,SILVER,861
624,France,Male,51,10,123401.43,2,1,1,127825.25,0,0,4,SILVER,242
553,France,Female,31,4,0.0,2,1,1,89087.4,0,0,2,DIAMOND,393
666,France,Male,30,7,109805.3,1,0,1,163625.56,0,0,4,DIAMOND,957
578,France,Male,38,7,82259.29,1,1,0,8996.97,0,0,1,DIAMOND,325
713,France,Female,37,8,0.0,1,1,1,16403.41,0,0,2,GOLD,444
494,France,Male,25,6,0.0,2,0,1,109988.09,0,0,1,PLATINUM,376
792,Spain,Female,40,7,0.0,1,1,0,141652.2,0,0,1,DIAMOND,538
565,France,Male,46,7,135369.71,1,0,1,140130.22,0,0,1,DIAMOND,829
837,Germany,Male,38,2,126732.85,1,1,1,79577.38,0,0,2,DIAMOND,644
637,Spain,Female,22,5,98800.0,1,1,0,122865.55,0,0,2,SILVER,430
598,Spain,Male,39,1,0.0,2,1,0,159130.32,0,0,4,GOLD,493
814,France,Female,31,6,87772.52,1,1,0,188516.45,0,0,3,SILVER,870
584,Spain,Female,37,8,0.0,2,0,1,100835.19,0,0,2,SILVER,937
532,Germany,Male,24,8,142755.25,1,0,0,34231.48,0,0,1,DIAMOND,699
812,Germany,Male,33,2,127154.14,2,0,1,105383.49,0,0,1,SILVER,344
698,Germany,Male,52,8,96781.39,1,1,1,153373.71,0,0,1,GOLD,629
572,Germany,Female,54,9,97382.53,1,1,1,195771.95,0,0,3,GOLD,316
638,France,Female,29,9,103417.74,1,1,1,15336.4,0,0,4,SILVER,492
703,Spain,Male,39,6,152685.4,1,0,0,183656.12,0,0,2,DIAMOND,994
478,Spain,Male,43,1,0.0,2,1,1,197916.43,0,0,5,DIAMOND,303
501,France,Female,29,8,0.0,2,1,0,112664.24,0,0,5,SILVER,222
583,France,Male,33,7,122531.86,1,1,0,13549.24,0,0,1,SILVER,313
622,Spain,Female,58,2,0.0,2,1,1,33277.31,0,0,5,PLATINUM,746
606,France,Female,35,0,135984.15,2,1,0,186778.89,0,0,1,SILVER,337
642,Germany,Male,41,4,157777.58,1,1,0,67484.6,0,0,5,DIAMOND,720
647,Spain,Male,33,7,121260.19,2,1,0,77216.48,0,0,1,PLATINUM,335
510,Germany,Female,50,7,123936.54,1,1,1,23768.01,0,0,5,DIAMOND,769
605,France,Male,52,1,63349.75,1,1,0,108887.44,0,0,2,DIAMOND,437
693,Spain,Female,45,4,0.0,2,1,1,26589.56,0,0,5,SILVER,898
425,France,Male,39,4,0.0,2,1,0,197226.32,0,0,2,SILVER,261
622,Spain,Male,36,9,0.0,2,1,1,104852.6,0,0,3,DIAMOND,331
725,France,Male,37,6,124348.38,2,0,1,176984.34,0,0,5,PLATINUM,309
696,Germany,Male,30,4,114027.7,1,1,1,193716.56,0,0,2,GOLD,597
449,France,Female,21,7,0.0,2,0,0,175743.92,0,0,3,GOLD,786
661,Spain,Male,38,7,143006.7,1,1,1,15650.89,0,0,2,SILVER,689
642,France,Male,36,4,0.0,2,1,1,195224.91,0,0,2,PLATINUM,289
833,France,Male,37,8,151226.18,2,1,1,136129.49,0,0,3,DIAMOND,633
674,France,Female,32,7,85757.93,1,1,1,95481.0,0,0,2,DIAMOND,929
699,France,Male,32,3,0.0,2,1,1,170770.44,0,0,1,GOLD,221
676,Spain,Male,27,4,0.0,1,0,1,107955.67,0,0,1,PLATINUM,490
514,France,Male,35,3,121030.9,1,1,0,10008.68,0,0,4,DIAMOND,264
605,France,Female,64,2,129555.7,1,1,1,13601.79,0,0,1,SILVER,380
556,France,Male,26,4,0.0,1,1,0,195167.38,0,0,4,SILVER,727
685,Spain,Male,35,4,137948.51,1,1,0,113639.64,0,0,1,PLATINUM,404
679,Germany,Female,50,6,132598.38,2,1,1,184017.98,0,0,2,SILVER,1000
643,France,Male,62,9,0.0,2,0,0,155870.82,0,0,5,PLATINUM,652
633,Germany,Male,42,3,126041.02,1,0,1,11796.89,0,0,5,GOLD,922
676,France,Female,32,5,0.0,2,1,1,75465.41,0,0,5,DIAMOND,862
667,France,Male,34,5,0.0,2,1,1,102908.63,0,0,4,PLATINUM,927
550,Spain,Male,34,3,0.0,2,0,0,131281.28,0,0,5,SILVER,806
678,Spain,Female,49,8,0.0,2,0,1,98090.69,0,0,3,DIAMOND,401
675,France,Female,57,8,0.0,2,0,1,95463.29,0,0,3,SILVER,632
676,France,Female,61,8,0.0,2,1,1,118522.73,0,0,5,DIAMOND,762
605,France,Female,34,2,0.0,1,0,0,35982.42,0,0,2,SILVER,723
681,Spain,Female,37,6,121231.39,1,1,1,146366.08,0,0,4,GOLD,271
652,France,Female,40,1,0.0,2,1,0,126554.96,0,0,1,PLATINUM,247
755,France,Male,34,3,0.0,2,1,1,158816.03,0,0,1,PLATINUM,671
630,Spain,Male,26,7,0.0,2,1,1,6656.64,0,0,2,DIAMOND,776
653,France,Female,43,6,0.0,2,1,1,7330.59,0,0,5,DIAMOND,848
669,Germany,Female,42,1,103873.39,1,1,0,148611.52,0,0,2,SILVER,964
659,France,Female,32,9,0.0,2,1,1,93155.75,0,0,1,PLATINUM,428
645,Spain,Female,55,1,133676.65,1,0,1,17095.49,0,0,5,SILVER,557
726,France,Male,28,2,0.0,1,0,0,98060.51,0,0,1,SILVER,983
504,France,Female,73,8,0.0,1,1,1,34595.58,0,0,3,GOLD,672
561,Spain,Female,33,6,0.0,2,1,0,45261.47,0,0,1,DIAMOND,704
574,France,Female,39,5,119013.86,1,1,0,103421.91,0,0,4,DIAMOND,904
623,France,Female,37,4,140211.88,1,1,1,93832.33,0,0,3,PLATINUM,271
606,Germany,Male,27,2,130274.26,2,1,0,147533.09,0,0,5,GOLD,915
778,France,Male,38,3,145018.49,2,1,1,126702.41,0,0,2,SILVER,598
738,Germany,Female,40,1,115409.18,2,0,0,180456.8,0,0,5,GOLD,925
432,Germany,Male,38,2,135559.8,2,1,1,71856.3,0,0,3,PLATINUM,622
715,France,Female,33,3,85227.84,1,1,1,68087.15,0,0,4,GOLD,648
667,Germany,Male,70,3,77356.92,2,1,1,20881.96,0,0,2,GOLD,681
782,Spain,Male,23,10,98052.66,1,1,1,142587.32,0,0,3,PLATINUM,565
466,France,Female,36,5,119540.15,1,0,1,80603.99,0,0,1,PLATINUM,513
545,France,Female,32,6,0.0,2,1,1,52067.37,0,0,5,SILVER,277
677,France,Male,27,2,0.0,2,1,1,20092.89,0,0,3,PLATINUM,737
742,Germany,Male,33,0,181656.51,1,1,1,107667.91,0,0,1,SILVER,288
626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0,0,2,DIAMOND,457
551,France,Male,37,3,0.0,2,1,1,50578.4,0,0,1,PLATINUM,936
643,Germany,Male,41,2,127841.52,1,1,0,172363.41,0,0,5,GOLD,474
700,France,Male,38,8,134811.3,1,1,0,1299.75,0,0,1,DIAMOND,903
850,Spain,Female,41,3,99945.93,2,1,0,71179.31,0,0,2,GOLD,252
482,France,Male,55,5,97318.25,1,0,1,78416.14,0,0,5,GOLD,408
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343
672,France,Male,34,9,0.0,2,1,0,161800.77,0,0,3,GOLD,239
662,Spain,Female,42,6,105021.28,1,1,0,48242.38,0,0,4,PLATINUM,313
709,France,Male,39,8,0.0,2,1,0,56214.09,0,0,3,GOLD,958
714,France,Male,34,5,141173.03,1,0,1,98896.06,0,0,5,SILVER,536
612,Germany,Male,42,5,141927.1,1,1,1,43018.98,0,0,5,GOLD,299
610,Spain,Female,46,5,116886.59,1,0,0,107973.44,0,0,1,GOLD,452
642,France,Male,25,7,0.0,2,1,0,102083.78,0,0,3,SILVER,905
850,Germany,Female,31,3,51293.47,1,0,0,35534.68,0,0,1,PLATINUM,580
760,Spain,Male,38,3,91241.85,1,0,1,80682.35,0,0,5,GOLD,840
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255
687,Germany,Male,41,10,134318.21,2,1,1,198064.52,0,0,4,DIAMOND,402
474,Germany,Female,37,5,142688.57,2,1,1,110953.33,0,0,4,DIAMOND,822
545,France,Male,37,3,91184.01,1,1,0,105476.65,0,0,1,GOLD,276
603,Spain,Female,39,5,162390.52,2,1,0,54702.66,0,0,5,GOLD,293
476,France,Female,40,4,0.0,2,0,0,182547.04,0,0,1,GOLD,488
736,France,Male,29,4,0.0,2,0,0,51705.01,0,0,2,DIAMOND,240
712,France,Male,33,2,182888.08,1,1,0,3061.0,0,0,1,SILVER,278
484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0,0,3,DIAMOND,774
543,Spain,Male,41,5,0.0,2,0,1,143980.29,0,0,5,SILVER,370
717,France,Male,38,7,0.0,2,1,1,158580.05,0,0,4,SILVER,714
682,Spain,Male,36,5,0.0,2,1,1,147758.51,0,0,5,GOLD,628
739,Spain,Female,27,8,98926.4,1,1,1,106969.98,0,0,2,GOLD,474
574,Spain,Female,28,7,0.0,2,0,0,185660.3,0,0,1,PLATINUM,626
617,France,Female,30,8,0.0,1,1,1,92621.9,0,0,3,GOLD,829
790,Spain,Male,37,8,0.0,2,1,1,149418.41,0,0,4,GOLD,348
565,France,Male,49,7,0.0,2,1,1,89609.26,0,0,4,PLATINUM,579
